Wheel,LastSyncPulseTime,ArduinoTime,BonsaiTime,RenderFrameCount
598,4483,6644,60443615.3472,396
598,4483,6654,60443625.5872,396
598,4483,6664,60443634.9184,397
598,4483,6674,60443645.0688,397
598,4483,6684,60443655.296,398
599,4483,6694,60443665.5488,399
599,4483,6704,60443674.6496,399
599,4483,6714,60443684.8896,400
599,4483,6724,60443695.104,400
600,4483,6734,60443705.3184,401
600,4483,6744,60443714.5472,402
600,4483,6754,60443724.7232,402
601,4483,6764,60443735.0016,403
602,4483,6774,60443745.216,403
602,4483,6784,60443754.368,404
603,4483,6794,60443764.6208,405
604,4483,6804,60443774.8864,405
605,4483,6814,60443784.9984,406
606,4483,6824,60443795.2384,406
606,4483,6834,60443804.4032,407
607,4483,6844,60443814.6048,408
608,4483,6854,60443824.8192,408
609,4483,6864,60443835.0848,409
610,4483,6874,60443844.2368,409
610,4483,6884,60443854.4384,410
611,4483,6894,60443864.7168,411
612,4483,6904,60443874.9696,411
612,4483,6914,60443884.1984,412
613,4483,6924,60443894.4256,412
613,4483,6934,60443904.6144,413
613,4483,6944,60443914.8672,414
613,4483,6955,60443924.928,414
613,4483,6965,60443935.1552,415
613,4483,6975,60443945.4208,416
612,4483,6985,60443955.6992,416
612,4483,6995,60443965.8112,417
612,4483,7005,60443975.1296,417
612,4483,7015,60443985.344,418
612,4483,7025,60443995.6864,419
612,4483,7035,60444005.8368,419
612,4483,7045,60444014.912,420
612,4483,7055,60444025.1264,420
612,4483,7065,60444035.3664,421
612,4483,7075,60444045.6192,422
612,4483,7085,60444054.7328,422
612,4483,7095,60444064.9344,423
612,4483,7105,60444075.1616,423
612,4483,7115,60444085.3504,424
612,4483,7126,60444095.6544,425
612,4483,7136,60444105.8176,425
612,4483,7146,60444116.0192,426
612,4483,7156,60444126.2464,426
612,4483,7166,60444136.4352,427
612,4483,7176,60444145.8432,428
612,4483,7186,60444155.9296,428
612,4483,7196,60444166.1568,429
612,4483,7206,60444176.3968,429
612,4483,7216,60444185.5488,430
612,4483,7226,60444195.7888,431
612,4483,7236,60444205.9904,431
612,4483,7246,60444216.2048,432
612,4483,7256,60444225.344,432
612,4483,7266,60444235.5584,433
612,4483,7276,60444245.7984,434
612,4483,7286,60444255.9872,434
612,4483,7296,60444265.2416,435
612,4483,7306,60444275.5072,435
612,4483,7316,60444285.7216,436
612,4483,7326,60444295.9232,437
612,4483,7336,60444306.0096,437
612,4483,7346,60444315.2768,438
612,4483,7356,60444325.5808,438
612,4483,7366,60444335.7824,439
612,4483,7376,60444345.8944,440
612,4483,7386,60444355.136,440
612,4483,7396,60444365.3504,441
613,4483,7406,60444376.2176,442
613,4483,7416,60444385.8048,442
613,4483,7426,60444394.944,443
613,4483,7436,60444405.1968,443
613,4483,7446,60444415.5776,444
613,4483,7456,60444425.6384,444
613,4483,7467,60444435.8528,445
613,4483,7477,60444446.0928,446
613,4483,7487,60444456.2816,446
613,4483,7497,60444466.496,447
613,4483,7507,60444476.736,448
613,4483,7517,60444485.9264,448
613,4483,7527,60444496.0768,449
613,4483,7537,60444506.3168,449
613,4483,7547,60444516.544,450
613,4483,7557,60444525.8496,450
613,4483,7567,60444535.936,451
613,4483,7577,60444546.2144,452
613,4483,7587,60444556.3648,452
613,4483,7597,60444565.6576,453
613,4483,7607,60444575.8848,454
613,4483,7617,60444586.0864,454
613,4483,7627,60444596.3264,455
613,4483,7638,60444606.4128,455
613,4483,7648,60444616.6656,456
613,4483,7658,60444626.8928,457
613,4483,7668,60444637.0688,457
613,4483,7678,60444647.3088,458
613,4483,7688,60444656.6144,458
613,4483,7698,60444666.8032,459
613,4483,7708,60444677.0176,460
613,4483,7718,60444687.2192,460
613,4483,7728,60444697.0752,461
613,4483,7738,60444706.8544,461
613,7743,7748,60444716.8384,462
613,7743,7758,60444727.0528,463
613,7743,7768,60444736.192,463
613,7743,7778,60444746.4576,464
613,7743,7788,60444756.6848,464
613,7743,7798,60444766.8352,465
613,7743,7808,60444776.1664,466
613,7743,7818,60444786.3296,466
613,7743,7828,60444796.5312,467
613,7743,7838,60444806.7328,467
613,7743,7848,60444816.9216,468
613,7743,7858,60444826.1632,469
613,7743,7868,60444836.3904,469
613,7743,7878,60444846.6304,470
613,7743,7888,60444857.0368,471
613,7743,7898,60444865.9584,471
613,7743,7908,60444876.2368,472
613,7743,7918,60444886.464,472
613,7743,7928,60444896.8448,473
613,7743,7938,60444905.8176,473
613,7743,7948,60444916.0192,474
613,7743,7958,60444926.2592,475
613,7743,7968,60444937.0752,475
613,7743,7979,60444946.7136,476
613,7743,7989,60444956.9024,477
613,7743,7999,60444967.1168,477
613,7743,8009,60444977.4336,478
613,7743,8019,60444987.5328,478
613,7743,8029,60444996.8768,479
614,7743,8039,60445007.0656,480
614,7743,8049,60445017.2416,480
614,7743,8059,60445027.4816,481
614,7743,8069,60445036.6592,481
615,7743,8079,60445046.8608,482
615,7743,8089,60445057.1136,483
615,7743,8099,60445067.264,483
616,7743,8109,60445076.48,484
616,7743,8119,60445086.6944,484
617,7743,8129,60445096.9088,485
618,7743,8139,60445107.0848,486
618,7743,8150,60445117.3504,486
619,7743,8160,60445127.552,487
620,7743,8170,60445137.7664,487
